"","AGEGROUP","COUNTRY","value"
"16537","AGE20-24","GRD",0.999185
"16538","AGE50-54","BIH",0.990426
"16539","AGE55-59","BRN",0.993898
"16540","AGE20-24","SLE",0.987264
"16541","AGE60-64","SWZ",0.979446
"16542","AGE5-9","HUN",0.999921
"16543","AGE1-4","BIH",0.999841
"16544","AGE65-69","ROU",0.984076
"16545","AGELT1","HND",0.972115
"16546","AGE45-49","ARE",0.99781
"16547","AGE60-64","DNK",0.985436
"16548","AGE70-74","BDI",0.936213
"16549","AGE40-44","GHA",0.993207
"16550","AGE1-4","ETH",0.994736
"16551","AGE1-4","KHM",0.991261
"16552","AGE65-69","IDN",0.976377
"16553","AGE50-54","GNB",0.985407
"16554","AGE70-74","CHN",0.958
"16555","AGE65-69","KGZ",0.960078
"16556","AGE50-54","CUB",0.994087
"16557","AGE5-9","GRC",0.999891
"16558","AGE60-64","LTU",0.988
"16559","AGE80-84","RUS",0.893
"16560","AGE30-34","COM",0.996048
"16561","AGE55-59","GNB",0.979542
"16562","AGE80-84","AZE",0.868894
"16563","AGE55-59","GEO",0.99504
"16564","AGE35-39","COL",0.997159
"16565","AGE50-54","AND",0.994183
"16566","AGE30-34","PNG",0.996395
"16567","AGELT1","SWZ",0.938991
"16568","AGE40-44","AZE",0.996741
"16569","AGE50-54","RUS",0.976
"16570","AGE35-39","BLZ",0.998315
"16571","AGE90-94","STP",0.719971
"16572","AGE10-14","DMA",0.999281
"16573","AGE1-4","AND",1
"16574","AGE50-54","MKD",0.995672
"16575","AGE70-74","NRU",0.944275
"16576","AGE85-89","THA",0.838
"16577","AGELT1","GRC",0.987673
"16578","AGE30-34","BEN",0.993961
"16579","AGE75-79","MKD",0.911922
"16580","AGE60-64","NIC",0.985527
"16581","AGE10-14","ROU",0.999698
"16582","AGE55-59","LBY",0.994143
"16583","AGE85-89","LBY",0.805359
"16584","AGE10-14","BRB",0.999675
"16585","AGE60-64","SDN",0.982767
"16586","AGE50-54","LVA",0.982019
"16587","AGE85-89","LBR",0.723554
"16588","AGE65-69","GNB",0.959145
"16589","AGE15-19","KNA",0.999452
"16590","AGE35-39","PRY",0.998657
"16591","AGE85-89","AZE",0.805431
"16592","AGE75-79","CYP",0.927629
"16593","AGE45-49","JOR",0.994794
"16594","AGE10-14","LBY",0.999492
"16595","AGE60-64","BIH",0.981285
"16596","AGE55-59","ERI",0.976743
"16597","AGELT1","DMA",0.989995
"16598","AGE15-19","AZE",0.999561
"16599","AGE85-89","MDV",0.744
"16600","AGE65-69","NIC",0.9745
"16601","AGE45-49","PNG",0.992084
"16602","AGE20-24","MWI",0.994673
"16603","AGE75-79","TKM",0.925
"16604","AGE80-84","ISL",0.939344
"16605","AGE50-54","NLD",0.994634
"16606","AGE40-44","NIC",0.997176
"16607","AGE90-94","JOR",0.682878
"16608","AGE55-59","VNM",0.987
"16609","AGE20-24","BEL",0.999565
"16610","AGE65-69","ALB",0.983543
"16611","AGE35-39","DNK",0.998969
"16612","AGELT1","SDN",0.905841
"16613","AGE5-9","KIR",0.999462
"16614","AGE15-19","CHN",0.999571
"16615","AGE35-39","LTU",0.995385
"16616","AGE30-34","IRN",0.997
"16617","AGE10-14","ECU",0.999652
"16618","AGE45-49","TZA",0.989774
"16619","AGE20-24","WSM",0.999287
"16620","AGE90-94","STP",0.730309
"16621","AGE95-99","DZA",0.556617
"16622","AGE65-69","SLB",0.972025
"16623","AGE30-34","BLZ",0.998603
"16624","AGE60-64","FIN",0.987708
"16625","AGE1-4","MLT",0.999801
"16626","AGE1-4","RUS",0.999674
"16627","AGE45-49","ATG",0.992534
"16628","AGE45-49","PHL",0.990743
"16629","AGELT1","HRV",0.996281
"16630","AGE95-99","TUV",0.603442
"16631","AGE95-99","GRC",0.64076
"16632","AGE65-69","SOM",0.958035
"16633","AGE35-39","SYR",0.998202
"16634","AGE30-34","MHL",0.998969
"16635","AGE60-64","MDA",0.964345
"16636","AGE30-34","ZMB",0.992845
"16637","AGE55-59","BFA",0.982841
"16638","AGE80-84","FSM",0.864407
"16639","AGE95-99","BEN",0.483769
"16640","AGE45-49","COG",0.986283
"16641","AGE20-24","LKA",0.99527
"16642","AGE90-94","MRT",0.619599
"16643","AGE5-9","GUY",0.999495
"16644","AGE80-84","BOL",0.869881
"16645","AGE80-84","GTM",0.889016
"16646","AGE85-89","ESP",0.886851
"16647","AGE75-79","SLV",0.949189
"16648","AGE5-9","HUN",0.999861
"16649","AGE60-64","SDN",0.978639
"16650","AGELT1","HRV",0.990128
"16651","AGE1-4","USA",0.999698
"16652","AGE20-24","TZA",0.994385
"16653","AGE80-84","ECU",0.906579
"16654","AGE65-69","TUV",0.943421
"16655","AGE50-54","CUB",0.993212
"16656","AGE85-89","KNA",0.820825
"16657","AGE60-64","HTI",0.980601
"16658","AGE5-9","AZE",0.999
"16659","AGELT1","MOZ",0.816997
"16660","AGE95-99","URY",0.775
"16661","AGE15-19","SLE",0.992805
"16662","AGE1-4","PRK",0.995951
"16663","AGE80-84","IND",0.888896
"16664","AGE15-19","BEN",0.99751
"16665","AGE80-84","SMR",0.939328
"16666","AGE30-34","MYS",0.997625
"16667","AGE55-59","PRT",0.992053
"16668","AGE95-99","MEX",0.732314
"16669","AGE40-44","KWT",0.99909
"16670","AGE95-99","GTM",0.698204
"16671","AGE75-79","MUS",0.957469
"16672","AGE40-44","GEO",0.995271
"16673","AGE65-69","ARG",0.986435
"16674","AGE15-19","SYR",0.999658
"16675","AGE10-14","JAM",0.999427
"16676","AGE35-39","PAK",0.996614
"16677","AGE20-24","ATG",0.998427
"16678","AGE85-89","PAK",0.800415
"16679","AGE90-94","ISL",0.817226
"16680","AGE95-99","MYS",0.612523
"16681","AGE1-4","ETH",0.98426
"16682","AGE20-24","ISL",0.999743
"16683","AGE40-44","MDV",0.998672
"16684","AGE80-84","CHL",0.910273
"16685","AGE50-54","NIC",0.994957
"16686","AGE15-19","MHL",0.999121
"16687","AGE1-4","AGO",0.973983
"16688","AGE40-44","MCO",0.998559
"16689","AGE80-84","OMN",0.905458
"16690","AGE35-39","BGR",0.998746
"16691","AGE95-99","YEM",0.550908
"16692","AGE55-59","PAN",0.993254
"16693","AGELT1","LBN",0.991624
"16694","AGE60-64","MRT",0.981062
"16695","AGE65-69","BDI",0.965741
"16696","AGE95-99","CAF",0.55464
"16697","AGE85-89","FSM",0.774522
"16698","AGE70-74","IRN",0.964588
"16699","AGE80-84","TZA",0.823836
"16700","AGE35-39","GIN",0.99232
"16701","AGE40-44","ARE",0.999299
"16702","AGE35-39","MDG",0.994699
"16703","AGE65-69","LBY",0.98327
"16704","AGE30-34","TLS",0.991892
"16705","AGE10-14","SOM",0.994295
"16706","AGE35-39","GBR",0.998608
"16707","AGE1-4","ROU",0.999672
"16708","AGE55-59","BTN",0.976625
"16709","AGE30-34","LKA",0.995308
"16710","AGE60-64","PRK",0.958541
"16711","AGE90-94","SRB",0.779938
"16712","AGE95-99","AGO",0.442
"16713","AGE45-49","MLI",0.989851
"16714","AGE1-4","SWE",0.999753
"16715","AGE10-14","PRY",0.999738
"16716","AGE75-79","ATG",0.952732
"16717","AGE20-24","IND",0.998025
"16718","AGE20-24","NIU",0.998
"16719","AGE90-94","COG",0.639931
"16720","AGE30-34","WSM",0.998744
"16721","AGE75-79","KEN",0.916161
"16722","AGE5-9","NZL",0.999719
"16723","AGE20-24","PNG",0.997996
"16724","AGE60-64","MKD",0.987582
"16725","AGE45-49","TTO",0.992871
"16726","AGE10-14","RUS",0.99974
"16727","AGE75-79","CZE",0.934338
"16728","AGE45-49","BRN",0.997825
"16729","AGE70-74","SOM",0.937422
"16730","AGE15-19","FJI",0.999392
"16731","AGE20-24","OMN",0.998739
"16732","AGE75-79","CYP",0.97406
"16733","AGE45-49","DNK",0.997183
"16734","AGE5-9","KEN",0.996143
"16735","AGE20-24","TGO",0.99662
"16736","AGE35-39","MYS",0.998368
"16737","AGE15-19","AUT",0.999813
"16738","AGE70-74","MNE",0.966507
"16739","AGE55-59","DZA",0.990282
"16740","AGE65-69","ECU",0.988075
"16741","AGE95-99","BGR",0.57849
"16742","AGE30-34","MNG",0.998016
"16743","AGE10-14","FIN",0.999741
"16744","AGE90-94","UKR",0.715277
"16745","AGE30-34","MDV",0.997
"16746","AGE15-19","LAO",0.997918
"16747","AGE90-94","ISL",0.793714
"16748","AGE50-54","UZB",0.994081
"16749","AGE15-19","KNA",0.998605
"16750","AGE70-74","LBR",0.946914
"16751","AGE75-79","BHS",0.941715
"16752","AGE55-59","KGZ",0.990657
"16753","AGELT1","BRB",0.984545
"16754","AGE35-39","DNK",0.998626
"16755","AGE20-24","TKM",0.998619
"16756","AGE10-14","NRU",1
"16757","AGE80-84","IRN",0.876
"16758","AGE55-59","NRU",0.993997
"16759","AGE10-14","AZE",0.999666
"16760","AGE40-44","SVN",0.999132
"16761","AGE45-49","SAU",0.99768
"16762","AGE15-19","PRK",0.998127
"16763","AGE85-89","MHL",0.759244
"16764","AGE15-19","PER",0.99925
"16765","AGE75-79","CAN",0.964962
"16766","AGE40-44","BIH",0.998885
"16767","AGE20-24","SEN",0.996997
"16768","AGE30-34","PLW",0.99861
"16769","AGE10-14","TON",0.999453
"16770","AGE90-94","BWA",0.672831
"16771","AGE60-64","MHL",0.976
"16772","AGELT1","IRQ",0.961
"16773","AGE75-79","OMN",0.950869
"16774","AGE20-24","CYP",0.998818
"16775","AGE5-9","KOR",0.999458
"16776","AGE20-24","UZB",0.998
"16777","AGE70-74","KOR",0.95307
"16778","AGE15-19","COM",0.997849
"16779","AGE1-4","GNB",0.980586
"16780","AGE80-84","GBR",0.926828
"16781","AGE90-94","MNG",0.608886
"16782","AGE95-99","STP",0.61206
"16783","AGE95-99","BHS",0.467
"16784","AGE60-64","USA",0.984637
"16785","AGE85-89","IRQ",0.775343
"16786","AGE85-89","UZB",0.855
"16787","AGE10-14","USA",0.999877
"16788","AGE70-74","PRK",0.961682
"16789","AGE60-64","COK",0.984662
"16790","AGE70-74","ECU",0.963748
"16791","AGE65-69","MUS",0.977132
"16792","AGE40-44","GUY",0.993951
"16793","AGELT1","TON",0.990076
"16794","AGE45-49","BRA",0.993743
"16795","AGE60-64","HRV",0.977782
"16796","AGE50-54","ISR",0.996375
"16797","AGE85-89","SYR",0.823342
"16798","AGE95-99","BFA",0.449191
"16799","AGE1-4","BIH",0.999545
"16800","AGE50-54","AGO",0.984926
"16801","AGE65-69","JAM",0.986048
"16802","AGE30-34","MDV",0.996687
"16803","AGE35-39","UGA",0.988472
"16804","AGE75-79","VNM",0.931
"16805","AGE70-74","PER",0.978731
"16806","AGE95-99","KIR",0.579317
"16807","AGE55-59","ALB",0.99013
"16808","AGE40-44","YEM",0.995
"16809","AGE95-99","SVK",0.686897
"16810","AGE5-9","CMR",0.99421
"16811","AGE80-84","COG",0.857819
"16812","AGE55-59","GUY",0.969953
"16813","AGE35-39","NER",0.994655
"16814","AGE15-19","PLW",0.999512
"16815","AGE5-9","SEN",0.997865
"16816","AGE30-34","MEX",0.997662
"16817","AGE80-84","DEU",0.913642
"16818","AGE5-9","AFG",0.998209
"16819","AGE10-14","COK",0.999905
"16820","AGE20-24","JPN",0.999409
"16821","AGELT1","HUN",0.994374
"16822","AGE10-14","KGZ",0.999594
"16823","AGE45-49","PRT",0.995099
"16824","AGELT1","ARE",0.99376
"16825","AGE15-19","AUS",0.999544
"16826","AGE45-49","DJI",0.991773
"16827","AGE55-59","URY",0.986
"16828","AGE75-79","BWA",0.919104
"16829","AGE85-89","LTU",0.829317
"16830","AGE95-99","BGD",0.712377
"16831","AGELT1","BRN",0.994129
"16832","AGE80-84","USA",0.946005
"16833","AGE30-34","ATG",0.998579
"16834","AGE45-49","PAN",0.995992
"16835","AGE30-34","CHN",0.998
"16836","AGE90-94","MUS",0.786804
"16837","AGE10-14","TUN",0.999651
"16838","AGE1-4","KWT",0.999441
"16839","AGE80-84","GIN",0.817101
"16840","AGE95-99","PRT",0.686451
"16841","AGE95-99","NIC",0.821197
"16842","AGE75-79","BEL",0.973765
"16843","AGE65-69","ISL",0.988917
"16844","AGE20-24","YEM",0.997517
"16845","AGE40-44","MWI",0.987497
"16846","AGE10-14","DJI",0.998548
"16847","AGE60-64","DOM",0.981767
"16848","AGE75-79","BRB",0.966757
"16849","AGE70-74","GHA",0.95
"16850","AGE70-74","LBN",0.953286
"16851","AGELT1","FIN",0.995079
"16852","AGE15-19","HUN",0.999777
"16853","AGE10-14","VUT",0.998845
"16854","AGE30-34","KWT",0.99938
"16855","AGE65-69","SSD",0.96765
"16856","AGE70-74","BRA",0.974472
"16857","AGE45-49","SWE",0.998717
"16858","AGE85-89","MEX",0.90968
"16859","AGE55-59","GMB",0.982327
"16860","AGE80-84","SGP",0.907048
"16861","AGE65-69","CZE",0.9737
"16862","AGE45-49","TJK",0.995192
"16863","AGE55-59","JOR",0.986346
"16864","AGE70-74","AGO",0.934934
"16865","AGE1-4","MNE",0.999743
"16866","AGE70-74","TKM",0.93
"16867","AGE80-84","NAM",0.86603
"16868","AGE5-9","LUX",0.999763
"16869","AGE60-64","MUS",0.97695
"16870","AGE1-4","ARG",0.999125
"16871","AGE90-94","TTO",0.777395
"16872","AGE30-34","DZA",0.998683
"16873","AGE95-99","GHA",0.401213
"16874","AGE40-44","NPL",0.996618
"16875","AGE40-44","NIC",0.994891
"16876","AGE55-59","TTO",0.986786
"16877","AGE55-59","ARE",0.993361
"16878","AGE20-24","CPV",0.99958
"16879","AGE15-19","BHS",0.999348
"16880","AGE95-99","THA",0.647
"16881","AGE40-44","NAM",0.991619
"16882","AGE10-14","GBR",0.999892
"16883","AGE55-59","TJK",0.984808
"16884","AGE70-74","CHN",0.961732
"16885","AGE95-99","KIR",0.513572
"16886","AGE55-59","FIN",0.986818
"16887","AGE5-9","DMA",0.999864
"16888","AGE30-34","CYP",0.99957
"16889","AGE10-14","ISL",1
"16890","AGE5-9","LBN",0.999185
"16891","AGE10-14","PNG",0.998971
"16892","AGE60-64","GHA",0.982226
"16893","AGE95-99","MUS",0.669692
"16894","AGE1-4","CAF",0.982554
"16895","AGE65-69","SVN",0.981054
"16896","AGE65-69","TZA",0.973749
"16897","AGE40-44","WSM",0.99815
"16898","AGE55-59","MDG",0.979032
"16899","AGE55-59","SGP",0.992271
"16900","AGE20-24","GBR",0.999783
"16901","AGE95-99","FRA",0.740381
"16902","AGE10-14","LBN",0.999757
"16903","AGE10-14","LSO",0.998136
"16904","AGE95-99","JPN",0.716737
"16905","AGE35-39","VUT",0.995801
"16906","AGE95-99","TGO",0.395211
"16907","AGE85-89","GIN",0.724361
"16908","AGE65-69","TTO",0.976494
"16909","AGE20-24","LTU",0.999694
"16910","AGE60-64","CHN",0.978
"16911","AGE1-4","QAT",0.999547
"16912","AGE1-4","CHN",0.999546
"16913","AGE55-59","BEL",0.992498
"16914","AGE20-24","CAN",0.998789
"16915","AGE20-24","GMB",0.995582
"16916","AGE50-54","IRL",0.996155
"16917","AGE95-99","PLW",0.599944
"16918","AGE45-49","SGP",0.998132
"16919","AGE1-4","SGP",0.999587
"16920","AGE55-59","BRB",0.988781
"16921","AGE95-99","KNA",0.502
"16922","AGE85-89","HUN",0.842943
"16923","AGE75-79","ARE",0.945685
"16924","AGE20-24","TTO",0.999157
"16925","AGE35-39","NIU",0.99738
"16926","AGE80-84","PNG",0.839219
"16927","AGE95-99","SSD",0.395
"16928","AGE35-39","SWE",0.999225
"16929","AGE90-94","QAT",0.823496
"16930","AGE10-14","NRU",1
"16931","AGE1-4","YEM",0.989932
"16932","AGE80-84","VUT",0.860192
"16933","AGE35-39","TZA",0.990026
"16934","AGE85-89","AZE",0.816628
"16935","AGE90-94","VUT",0.688875
"16936","AGE75-79","HND",0.950623
"16937","AGE80-84","TKM",0.884
"16938","AGELT1","KHM",0.919049
"16939","AGE80-84","CAN",0.956455
"16940","AGE5-9","NPL",0.997209
"16941","AGE20-24","IRL",0.999828
"16942","AGE10-14","SGP",0.999841
"16943","AGE45-49","GIN",0.990262
"16944","AGE85-89","MMR",0.757923
"16945","AGE35-39","CAN",0.999296
"16946","AGE65-69","URY",0.985856
"16947","AGE5-9","TGO",0.995361
"16948","AGE30-34","URY",0.999249
"16949","AGE5-9","CAN",0.999922
"16950","AGE1-4","CPV",0.998102
"16951","AGE55-59","WSM",0.985815
"16952","AGE20-24","WSM",0.999174
"16953","AGE15-19","MNE",0.999332
"16954","AGE75-79","FIN",0.954527
"16955","AGE1-4","FRA",0.999647
"16956","AGE35-39","LTU",0.994818
"16957","AGE90-94","MMR",0.684693
"16958","AGE75-79","MLT",0.96795
"16959","AGE75-79","SLE",0.847246
"16960","AGE20-24","YEM",0.996839
"16961","AGE80-84","TGO",0.842292
"16962","AGE30-34","SLE",0.987741
"16963","AGE20-24","QAT",0.999839
"16964","AGE95-99","HUN",0.688926
"16965","AGE10-14","SSD",0.996032
"16966","AGE85-89","HND",0.873164
"16967","AGE75-79","LSO",0.91337
"16968","AGE60-64","KWT",0.984569
"16969","AGE75-79","TGO",0.904531
"16970","AGE20-24","GIN",0.995075
"16971","AGE30-34","BEL",0.999424
"16972","AGE80-84","IRL",0.920063
"16973","AGE90-94","KHM",0.762818
"16974","AGE10-14","PAN",0.999528
"16975","AGE30-34","CHN",0.999296
"16976","AGE65-69","CAN",0.986572
"16977","AGE65-69","LVA",0.952
"16978","AGE20-24","GMB",0.996059
"16979","AGE40-44","NIU",0.997517
"16980","AGE45-49","MDG",0.987876
"16981","AGE35-39","CIV",0.988341
"16982","AGE20-24","KIR",0.997166
"16983","AGE65-69","WSM",0.980613
"16984","AGE5-9","BHS",0.9996
"16985","AGE10-14","LUX",0.999928
"16986","AGE75-79","DOM",0.958694
"16987","AGE15-19","USA",0.999233
"16988","AGE10-14","LBN",0.999876
"16989","AGE85-89","NIU",0.818
"16990","AGE40-44","ALB",0.997699
"16991","AGE80-84","CHN",0.855471
"16992","AGE15-19","JAM",0.999381
"16993","AGE70-74","NIU",0.946456
"16994","AGE35-39","NIU",0.998033
"16995","AGE20-24","AGO",0.992197
"16996","AGE65-69","GMB",0.970102
"16997","AGELT1","MNE",0.994903
"16998","AGE1-4","ISL",0.999897
"16999","AGE35-39","ISL",0.999085
"17000","AGE35-39","DEU",0.999493
"17001","AGE30-34","ERI",0.997017
"17002","AGE60-64","ECU",0.985283
"17003","AGE50-54","DOM",0.991767
"17004","AGE95-99","HRV",0.713866
"17005","AGE65-69","LSO",0.966408
"17006","AGE75-79","MDV",0.863598
"17007","AGE15-19","MYS",0.998905
"17008","AGE60-64","KNA",0.988805
"17009","AGE80-84","DNK",0.932234
"17010","AGE5-9","PAK",0.998731
"17011","AGELT1","MHL",0.934694
"17012","AGE75-79","ZMB",0.892
"17013","AGE30-34","ZMB",0.975171
"17014","AGE90-94","KOR",0.830029
"17015","AGE45-49","TJK",0.995549
"17016","AGE55-59","AUT",0.988131
"17017","AGELT1","SLE",0.854553
"17018","AGE90-94","URY",0.801782
"17019","AGELT1","BEN",0.893385
"17020","AGE90-94","BHR",0.736523
"17021","AGE5-9","SRB",0.999868
"17022","AGE5-9","MYS",0.999823
"17023","AGE90-94","NPL",0.663653
"17024","AGE30-34","AZE",0.997
"17025","AGE30-34","AGO",0.992322
"17026","AGE15-19","GTM",0.998394
"17027","AGE5-9","AFG",0.998229
"17028","AGE75-79","SVK",0.910182
"17029","AGE50-54","TKM",0.983
"17030","AGE1-4","IND",0.991247
"17031","AGE30-34","BGD",0.99846
"17032","AGE65-69","PNG",0.940363
"17033","AGELT1","FSM",0.951662
"17034","AGE95-99","GNQ",0.450295
"17035","AGE70-74","GBR",0.974221
"17036","AGE85-89","ZAF",0.79834
"17037","AGE80-84","NER",0.812263
"17038","AGE35-39","TCD",0.989536
"17039","AGE65-69","SSD",0.946875
"17040","AGE1-4","CHL",0.999723
"17041","AGE75-79","SGP",0.940242
"17042","AGELT1","AZE",0.934096
"17043","AGE65-69","MYS",0.969404
"17044","AGE55-59","MNE",0.98728
"17045","AGE20-24","BRN",0.999488
"17046","AGE65-69","UGA",0.969115
"17047","AGE95-99","BRB",0.747082
"17048","AGE90-94","SDN",0.71695
"17049","AGELT1","GAB",0.948494
"17050","AGE30-34","ESP",0.998684
"17051","AGE35-39","COK",0.99762
"17052","AGE50-54","TGO",0.988784
"17053","AGE80-84","YEM",0.855115
"17054","AGE60-64","ZMB",0.973
"17055","AGE40-44","TCD",0.987887
"17056","AGE95-99","DJI",0.456365
"17057","AGE75-79","MDG",0.918439
"17058","AGE15-19","MDG",0.997547
"17059","AGE30-34","TKM",0.998
"17060","AGE75-79","CAF",0.900826
"17061","AGE75-79","GIN",0.898419
"17062","AGE85-89","BGD",0.849199
"17063","AGE10-14","SGP",0.999903
"17064","AGE10-14","STP",0.998273
"17065","AGE10-14","URY",1
"17066","AGE50-54","BEN",0.989385
"17067","AGE85-89","ITA",0.851196
"17068","AGE45-49","ROU",0.991486
"17069","AGE75-79","AUS",0.964099
"17070","AGE90-94","MOZ",0.689105
"17071","AGE50-54","IDN",0.991044
"17072","AGE45-49","LTU",0.996294
"17073","AGE5-9","FSM",0.999042
"17074","AGE85-89","HND",0.889806
"17075","AGE95-99","MDV",0.528
"17076","AGE5-9","COM",0.998173
"17077","AGE85-89","TTO",0.809098
"17078","AGE45-49","FJI",0.994276
"17079","AGE20-24","SVN",0.999512
"17080","AGE50-54","GNQ",0.982146
"17081","AGE95-99","HUN",0.579242
"17082","AGE55-59","GRD",0.991109
"17083","AGE85-89","GNB",0.693546
"17084","AGE60-64","THA",0.982811
"17085","AGE50-54","VUT",0.992757
"17086","AGE10-14","SRB",0.999744
"17087","AGE85-89","COK",0.861526
"17088","AGE20-24","KNA",0.999
"17089","AGE30-34","ROU",0.99949
"17090","AGE45-49","SMR",0.999596
"17091","AGE80-84","STP",0.873613
"17092","AGE5-9","ISR",0.999894
"17093","AGE75-79","AFG",0.887426
"17094","AGE10-14","IRQ",0.999
"17095","AGE95-99","NGA",0.565233
"17096","AGE65-69","SLE",0.939782
"17097","AGE60-64","PNG",0.954182
"17098","AGE10-14","JOR",0.999656
"17099","AGE95-99","KAZ",0.675208
"17100","AGE35-39","AND",0.999638
"17101","AGE60-64","VCT",0.984498
"17102","AGE1-4","PHL",0.995282
"17103","AGE5-9","CAN",0.999857
"17104","AGE1-4","IRL",0.999728
"17105","AGE65-69","NOR",0.985727
"17106","AGE5-9","VEN",0.999785
"17107","AGE40-44","TGO",0.993618
"17108","AGE35-39","TON",0.996807
"17109","AGELT1","TGO",0.928379
"17110","AGE70-74","STP",0.945824
"17111","AGE50-54","PRY",0.992884
"17112","AGE95-99","COK",0.697213
"17113","AGE75-79","SRB",0.920434
"17114","AGE10-14","LVA",1
"17115","AGE40-44","MKD",0.997812
"17116","AGE5-9","COL",0.999787
"17117","AGE90-94","CMR",0.672149
"17118","AGE35-39","ETH",0.995063
"17119","AGE30-34","KGZ",0.996063
"17120","AGE40-44","SWE",0.999343
"17121","AGE75-79","PAK",0.924081
"17122","AGE1-4","BEL",0.999697
"17123","AGE15-19","BIH",0.999502
"17124","AGE85-89","PRT",0.866289
"17125","AGE10-14","CZE",0.999833
"17126","AGE20-24","ISR",0.999769
"17127","AGE55-59","SLE",0.964089
"17128","AGE80-84","KOR",0.916498
"17129","AGE60-64","ISR",0.995102
"17130","AGE40-44","PRT",0.996555
"17131","AGE30-34","HND",0.997457
"17132","AGE1-4","VCT",0.999718
"17133","AGE90-94","DNK",0.832223
"17134","AGE65-69","KHM",0.983858
"17135","AGE10-14","MWI",0.997596
"17136","AGE95-99","GNB",0.444095
"17137","AGE45-49","FIN",0.994354
"17138","AGE65-69","ISR",0.992003
"17139","AGELT1","MWI",0.956942
"17140","AGE15-19","TTO",0.999436
"17141","AGE45-49","ERI",0.971285
"17142","AGE20-24","NIC",0.997681
"17143","AGE60-64","MNG",0.969538
"17144","AGE1-4","SOM",0.978865
"17145","AGE90-94","GEO",0.776499
"17146","AGELT1","COD",0.86971
"17147","AGE1-4","LSO",0.990426
"17148","AGE15-19","NIU",0.999
"17149","AGE20-24","PNG",0.995426
"17150","AGE20-24","JOR",0.999
"17151","AGE85-89","KGZ",0.824944
"17152","AGE20-24","ARE",0.999616
"17153","AGE50-54","AZE",0.994287
"17154","AGE85-89","MLI",0.717623
"17155","AGE70-74","PRY",0.975947
"17156","AGE95-99","MUS",0.660276
"17157","AGE35-39","ARG",0.998102
"17158","AGE75-79","UZB",0.926534
"17159","AGELT1","MYS",0.992147
"17160","AGE95-99","THA",0.608614
"17161","AGE5-9","AFG",0.996969
"17162","AGE70-74","COK",0.934
"17163","AGE75-79","VEN",0.944711
"17164","AGE70-74","IRN",0.937208
"17165","AGE50-54","HRV",0.991276
"17166","AGE40-44","IRN",0.996794
"17167","AGE85-89","CHE",0.88263
"17168","AGE1-4","BRB",0.999621
"17169","AGE30-34","HUN",0.999304
"17170","AGE20-24","HRV",0.999563
"17171","AGE30-34","LAO",0.996249
"17172","AGELT1","AFG",0.894405
"17173","AGE80-84","MNG",0.823449
"17174","AGE55-59","BWA",0.98238
"17175","AGE90-94","BWA",0.766786
"17176","AGE10-14","MMR",0.99914
"17177","AGE55-59","LAO",0.989134
"17178","AGE1-4","ZAF",0.997284
"17179","AGE20-24","COM",0.995964
"17180","AGE30-34","MDV",0.999137
"17181","AGE90-94","AGO",0.569
"17182","AGE5-9","SYR",0.999644
"17183","AGE50-54","BFA",0.988026
"17184","AGE80-84","GNQ",0.852965
"17185","AGE75-79","GHA",0.912
"17186","AGE85-89","RWA",0.801004
"17187","AGE50-54","ZWE",0.989266
"17188","AGE40-44","VNM",0.998699
"17189","AGE5-9","BEN",0.99734
"17190","AGE85-89","LCA",0.870179
"17191","AGE70-74","IND",0.949827
"17192","AGE90-94","EGY",0.753259
"17193","AGE30-34","MRT",0.996138
"17194","AGE10-14","NIC",0.99964
"17195","AGE85-89","AUS",0.900614
"17196","AGE10-14","NGA",0.995147
"17197","AGE75-79","GHA",0.916509
"17198","AGE85-89","HRV",0.808836
"17199","AGE40-44","MUS",0.993776
"17200","AGE30-34","FIN",0.999606
"17201","AGE20-24","TUN",0.998779
"17202","AGE60-64","ITA",0.991508
"17203","AGE45-49","CUB",0.996645
"17204","AGE55-59","KEN",0.989409
"17205","AGE65-69","SYR",0.972923
"17206","AGE5-9","BOL",0.997858
"17207","AGE50-54","SUR",0.996718
"17208","AGE60-64","ARM",0.968598
"17209","AGE50-54","AFG",0.989809
"17210","AGE65-69","SUR",0.980892
"17211","AGE70-74","ITA",0.988315
"17212","AGE85-89","SVK",0.837733
"17213","AGE5-9","IRN",0.999597
"17214","AGE75-79","GRC",0.937881
"17215","AGE60-64","GNQ",0.973402
"17216","AGE95-99","THA",0.671075
"17217","AGE5-9","POL",1
"17218","AGE70-74","KAZ",0.956823
"17219","AGE20-24","MNG",0.998754
"17220","AGE85-89","SUR",0.931139
"17221","AGE10-14","PHL",0.999451
"17222","AGE10-14","AZE",0.99976
"17223","AGE5-9","LBR",0.997999
"17224","AGE20-24","ECU",0.997
"17225","AGE1-4","SOM",0.984523
"17226","AGE50-54","AFG",0.99012
"17227","AGE60-64","MCO",0.986727
"17228","AGE80-84","MOZ",0.839233
"17229","AGE40-44","UZB",0.997721
"17230","AGE5-9","PLW",0.999638
"17231","AGE90-94","MRT",0.608882
"17232","AGE85-89","EST",0.838469
"17233","AGE95-99","VCT",0.624121
"17234","AGE85-89","SRB",0.827085
"17235","AGE1-4","SEN",0.996856
"17236","AGE20-24","TCD",0.9932
"17237","AGELT1","RWA",0.894386
"17238","AGE40-44","LBR",0.992969
"17239","AGE80-84","GRD",0.865709
"17240","AGE5-9","GTM",0.999278
"17241","AGE95-99","MRT",0.504123
